es_term,en_term
acomys,Acomys
aconitasa,Aconitase
citrato,citrate
hidroliasa,hydrase
acónito,aconite
acónitos,aconite
aconítico,aconitic
aconitina,aconitine
acetilbenzoilaconina,aconitine
prueba,Impedance
impedancia,Impedance
audiometría,Audiometry
auditivo,Auditory
estimulación,Stimulation
acústica,Acoustic
auditiva,Acoustic
obturación,Occlusion
atresia,Atresia
adquirida,Occlusion
obstrucción,Block
completa,Occlusion
pilórica,adult
sida,AIDS
acremonium,Acremonium
cefalosporium,Acremonium
eucrisina,Euchrysine
acridina,Acridine
naranja,orange
básico,Euchrysine
acridinas,Acridine
acriflavina,Diacrid
síndrome,Syndrome
apert,ACS1
acrodermatitis,Acrodermatitis
acrodinia,Feer
acroqueratosis,Acrokeratosis
acroleína,Acrolein
2-propenal,Acrolein
acromegalia,Acromegaly
launois,Launois
gigantismo,Giant
acromegálico,Launois
hipersomatotrófico,Launois
articulación,Joint
acromioclavicular,Acromioclavicular
acromion,Entire acromion
proceso,Process
acromión,Acromion
acronina,Acronine
acronicina,Acronine
acrosina,ACROSIN
acrosoma,Acrosome
gránulo,Acrosome
acrosómico,Acrosome
acrilamidas,Acrylamides
acrilatos,Acrylates
resina,acrylic
acrílica,acrylic
resinas,acrylic
acrílicas,acrylic
acrilonitrilo,Vinylcyanide
vinil,Vinylcyanide
cianuro,cyanide
actiemil,Actihaemyl
solcoseril,Actihaemyl
actuación,play role
(psicología),Acting
actinina,Actinin
actinio,Ac
actinobacilosis,Actinobacillosis
actinobacillus,Actinobacillus
actinomyces,Discomyces
"actinomyces,",Discomyces
israelii,Oospora
actinomycetaceae,Actinomycetaceae
actinomycetales,Actinomycetales
coryneforme,Actinomycetales
orden,Order
actinomicetos,ACTINOBACT
actinomicina,Actinomycin
actinomicosis,Actinomycosis
actinomicótica,Abdominal
mandíbula,Jaw
abultada,lumpy
cervicofacial,lumpy
espectinomicina,SCM
actina,Actin
actinas,Actin
potenciales,Action
acción,Action
carbón,Coal
activo,Active
activado,carbono
macrófago,macrophage
armado,Armed
(célula),Armed
análisis,Analysis
activación,ANAL
radiactividad,Radioactive
activadores,Function Activator
aparatos,Function
eutanasia,Euthanasia
activa,Active
adl,ADL
actividad,Activity
diaria,ADL
actividades,Activity
diarias,ADL
ciclos,Activity
actomiosina,Actomyosin
subfragmentos,ACTO
actuarial,ANAL
acupuntura,Acupuncture
analgesia,Analgesia
acupuntural,Acupuncture
anestesia,Anesthesia
acupuntos,Acupoint
punto,Acupoint
puntos,Acupoint
hepatitis,Hepatitis
alcohólica,Ac
aguda,Ac
angelucci,Angelucci's
conjuntivitis,Pink Eye
atópica,Angelucci's
neumonía,pneum
capilar,Capillary
bronquiolitis,Bronchiolitis
casos,Case Study
agudos,ACUTE
miasma,ACUTE
cuadros,ACUTE
laringitis,Laryngitis
(aguda),Acute
pancreatitis,Pancreatitis
periodontitis,Pyorrhea
pericementitis,Pericementitis
faringitis,Pharyngitis
tiroiditis,Thyroiditis
amigdalitis,Tonsillitis
fulminante,Acute
atrofia,Atrophy
amarilla,Acute
necrosis,Necrosis
hepática,Acute
aciclovir,ACV
acilcoenzima,Acyl
grasa,Blubber
acilación,Acylation
cmpsialato,CMPsialate
sialato,CMPsialate
pirofosforilasa,CMPsialate
aciltransferasa,EC 2.3
aciltransferasas,EC 2.3
adamantano,Adamantane
crisis,Crisis
stokes-adams,Stokes-Adams
mimetismo,Mimicry
adaptación,Adapt
biológica,BIOL
fisiológica,PHYSIOL
enfermedad,ADDISON
addison,ADDISON
aden,Aden
adenina,Adenin
fosfato,Phosphate
adenosina,Ado
nucleótido,Nucleotide
fosfatos,Phosphate
piroforilasa,APRT
transfosforribosidasa,APRT
adenitis,Adenitis
aav,Dependovirus
vaa,Dependovirus
dependovirus,Dependovirus
adenocarcinoma,Adenocarcinoma
papilar,Papillary
[m]adenocarcinoma,Papillary
"papilar,",Papillary
adenofibroma,Adenofibroma
adenoidectomía,Adenoidectomy
adenoiditis,Adenoiditis
adenoides,Adenoid
tonsila,Tonsil
faríngea,Adenoid
adenolinfoma,Adenolymphoma
adenoma,Adenoma
basófilo,Basophil
cromófobo,Chromophobe
acidófilo,Acidophil
eosinófilo,eosinophil
adenosarcoma,Adenosarcoma
ampc,cAMP
adenosindeaminasa,ADENOSINE DEAMINASE
adenosindesaminasa,ADENOSINE DEAMINASE
adenosín,ADENOSINE
desaminasa,ADENOSINE
adp,ADP
difosfato,Diphosphate
adpg,ADPG
glucosa,Glucose
difosfoglucosa,ADPG
ribosa,ribose
difosforribosa,ADPribose
adenosindifosfato,ADPribose
azúcares,Sugar
mfa,AMP
amp,AMP
adenílico,AMP
adenilil-sulfato,APS
sulfato,Sulfate
adenilil,APS
fosfosulfato,APS
purinoceptores,Purinoceptor
receptores,P1
purinérgicos,Purinergic Agents
atpasa,ATPase
atpasas,ATPase
monofosfatasa,ATPase
adenosinotrifosfatasa,F1-ATPase
calcio,Ca
bomba,Pump
magnesio,Mg++
sodio,Sodium product
potasio,K
atp,ATP
adenilpirofosfato,ATP
trifosfato,ATP
adenovirus,ADV
adenoviridae,ADV
adenovírica,adenovirus
adenovíricas,adenovirus
aviadenovirus,Aviadenovirus
aviar,Aviadenovirus
virus,Vira
humano,Man
simiano,Simian
adenil,adenylcyclase
ciclasa,adenylcyclase
adenililciclasa,adenylcyclase
adenilo,adenylcyclase
miocinasa,Myokinase
mioquinasa,Myokinase
adenilosuccinasa,Adenylosuccinase
adenilosuccinato,Adenylosuccinase
liasa,Lyase
gammaimino,AMPPNP
gammaimino-atp,AMPPNP
gamma-imino,AMPPNP
adherencia,Adhesion
posoperatoria,Postoperative
posquirúrgica,Postoperative
postoperatoria,Postoperative
venda,Bandage
adhesiva,Adhesive
vendaje,Banding
adhesivo,Adhesive
"adhesivo,",Adhesive
dispositivo,Device
cinta,Tape
adhesividad,Adhesiveness
adhesivos,Adhesive
pegamentos,Adhesive
holmes-adie,Adie
adifenina,adiphenine
adípicos,Adipic
lipocera,Adipocere
adipocira,Adipocere
tejido,Tiss
graso,Fat
neurolipomatosis,Dercum
adiposis,Adiposis
dolorosa,Dercum
trastornos,REACTIVE
reactivos,reagent
ajuste,Adjusted
trastorno,DIS
adaptativo,REACTIVE
adyuvante,Adjuvant
inmunoadyuvante,Adjuvant
inmunoadyuvantes,Adjuvant
coagentes,ADJ
farmacéuticos,druggist
adyuvantes,ADJ
gestión,ADMIN
gerencia,ADMIN
administración,Administer
bucal,BUCC
cutánea,DERMAL
inhalación,Inhale
intranasal,INTRANASAL
vaginal,Vaginal
intravaginal,Intravaginal
intravesical,Intravesical
sublingual,Sublingual
(calificador),SL
tópica,TOPICAL
personal,Worker
administrativo,Administrative
servicio,Admitting
admisión,Admitting
departamento,Flat
admisiones,Admitting
anexos,adnexa
uterinos,adnexa
apéndices,adnexa
anexitis,Adnexitis
uterina,Adnexitis
adolescencia,youth
conducta,Conduct
adolescente,teen
hebiatría,Hebiatrics
efebiatría,Hebiatrics
medicina,Medicine
psiquiatría,Psychiatry
psicología,PSYCHOL
hospitalizado,Hospitalized
institucionalizado,Institutionalized
adopción,Adoption
adosterol,Adosterol
6-yodometilnorcolesterol,Adosterol
corteza,Cortical
adrenal,Cortical
suprarrenal,ADR
corticoide,Corticoid
corticoides,Corticoid
cortical,adrenal
hipercorticismo,Hypercorticism
hipercortisismo,Hypercorticism
hiperadrenalismo,Hypercorticism
hipoadrenalismo,Hypoadrenalism
hipofunción,Hypoadrenalism
neoplasia,Neoplasm
neoplasias,Adrenal
suprarrenales,Adrenal
glándula,Gland
glándulas,Adrenal
adrenales,Adrenal
hiperplasia,Hyperplasia
médula,Marrow
adrenalectomía,Adrenalectomy
epinefrina,Epinephrine
adrenalina,epinephrine
adrenérgico,adrenergic
adrenérgicos,adrenergic
receptor,receptor
alfa-1,ALPHA
alfa-2,alpha-2-AR
agonista,ADREN
alfa-adrenérgico,ADREN
antiadrenérgico,adrenolytic
bloqueadores,Alpha
alfa-adrenérgicos,Alpha
antagonistas,Alpha
beta-1,ADREN
beta-2,ADREN
betadrenérgico,Betamimetics
agonistas,Betamimetics
betabloqueante,Beta blocker
beta-bloqueante,Beta blocker
betabloqueantes,Beta blocker
fibra,Fibrate
simpática,Adrenergic
simpáticas,Adrenergic
adrenérgicas,Adrenergic
neuronales,ADREN
adrenomiméticos,ADREN AG
adrenocromo,Adrenochrome
acth,ACTH
corticotrofina,Corticotropin
adrenodoxina,Adrenodoxin
adsorción,Adsorption
adulto,Adult
adultos,Adult
adulta,Adult
antisocial,Adult
testamento,Advance
vital,Vital
directivas,Guideline
anticipadas,Advance
voluntades,Advance
publicidad,advertised
anuncio,Advertisement
consultoría,SERV ADVISORY
servicios,service
aedes,Aede
aequorina,Aequorin
aeroalérgeno,Aeroallergen
(atributo),Aeroallergen
bacillus,Bacilli
pneumoniae,K.
klebsiella,Donovania
ejercicio,Exercise
aeróbico,aerobics
ejercicios,Exercises
aeróbicos,aerobics
(régimen/tratamiento),aerobics
aerobiosis,Aerobiosis
aerococcus,Aerococcus
aeromonas,aeromona
aerofagia,Aerophagy
propelentes,Aerosol
aerosol,Aer Spray
aerosoles,Aer
aeroespacial,MED
polimixina,Polymyxin
2-aminoetilisotiuronio,AET
beta-aminoetilisotiuronio,AET
dihidrobromuro,AET
afecto,Affect
"afecto,",Affect
función,Fcn
psicosis,Psychoses
afectiva,Affective
síntomas,Finding
afectivos,Affective
aferentes,Afferent
marcadores,Affinity
afinidad,Caring
afganistán,Afghanistan
(localización,Afghanistan
geográfica),Afghanistan
afibrinogenemia,Afibrinogenemia
aflatoxina,Aflatoxin
aflatoxinas,Aflatoxin
áfrica,Africa
sub-sahara,Subsaharan
"sub-sahara,",Subsaharan
subsahariana,Subsaharan
central,Center
oriental,Asian
maghreb,Maghreb
francesa,Maghreb
norte,Maghreb
austral,southern
occidental,IE
peste,Pest
equina,Equine
africana,Equine
porcina,ASF
asfivirus,Asfivirus
fiebre,Fever
idioma,AFR
afrikaans,AFR
cuidados,Aftercare
posteriores,Aftercare
cuidado,Aftercare
convaleciente,Convalescent
posimagen,Afterimage
postimagen,Afterimage
postimágenes,Afterimage
islas,Island
agalega,Agalega
agammaglobulinemia,Agammaglobulinemia
agar,agar
agaricaceae,Podaxaceae
seta,Mushroom
hongo,Mushroom
agaricus,Agaricus
edad,Age values
distribución,distribution
etaria,Age
efecto,Effect
etario,Age
osteoporosis,Osteoporosis
relacion-edad,BONE
mortalidad,MORTAL
anciano,Elderly man
ancianos,Aged
viejísimos,AGED 80
usaid,USAID
(eeuu),USAID
aglutinación,agglutination
(función),agglutination
tests,Agglutination
aglutinina,Agglutinin
sesgo,Bias
agregación,Aggr
agresión,Aggressive
envejecimiento,Aging
agmatina,Agmatine
osteomielofibrosis,Osteomyelofibrosis
mielofibrosis,mos
primaria,MOS
agnosia,Agnosia
agonística,Agonistic
agorafobia,Agoraphobia
agranulocitosis,Schultz
agrafia,Agraphia
desarrollo,Agricultural
agrícola,Agricultural
agronomía,Farming
agricultura,Farming
ingeniería,Engineer
agrobacterium,Polymonas
demencia,Amentia
serología,SEROL
htlv-iii,SEROL
serodiagnóstico,SERODIAG
arc,ARC
crs,ARC
ainhum,Ainhum
aire,Air
burbuja,Patient Isolator
acondicionado,air
ionización,Air
microbiología,MICROBIOL
movimientos,Motions
contaminado,contaminate
contaminantes,pollutant
atmosféricos,Air
ambientales,OCCUP
laborales,OCCUP
radiactivos,Radioactive
polución,Pollution
presión,pressure
neumática,Air
sacos,Air
aéreos,Air
vejiga,Bladder
aérea,Air
aviones,Aircraft
aeronaves,Aircraft
ajmalina,Ajmalin
vigil,Coma
vigilans,Coma
pequeño,Akinetic
acinético,Akinetic
alabama,AL
alabastro,Alabaster
alameticina,Alamethicin
l-alanina,ala
transaminasa,Aminotransferase
aminotransferasa,Aminotransferase
racemasa,Racemase
alanina-rnat,Ala-tRNA
alanina-arnt,Ala-tRNA
alanil,Ala-tRNA
alaska,AK
alastrim,Amaas
albania,Albania
albanés,SQI
albendazol,Albendazol
alberta,Alberta
albinismo,albino
albúmina,Albumin
albúminas,Albumin
albuminuria,Albuminuria
albuterol,albuterol
alcaligenes,Alcaligenes
alquimia,Alchemy
alcian,Alcian
alcián,Alcian
alciano,Alcian
amnesia,Amnesia
amnésico,alcoholism;
alcohólico,Boozer
alcohol,Alcohol
alcohol-deshidrogenasa,ADH
disuasivos,Alcohol
consumo,etoh
borrachera,binge drink
patológica,Pathologic
embriaguez,Drunk
idiosincrática,Pathologic
carbonil,Ketone
cetona,Ketone
oxidorreductasas,Ketone
delirium,dts
tremens,dts
etanol,Ethanol
metanol,Methanol
propanol,propanol
1-propanol,propanol
bebida,Drink
bebidas,Drink
alcohólicas,Alcoholic
alcohólicos,aa
anónimos,Anonym
dipsomanía,Alcoholism
alcoholismo,Alcoholism
alcoholes,Alcohol
pentanoles,Pentanols
